Label_names,Label_indices,Relabel_class,Occurences
pigeon,1825,766,"('pigeon', 46)"
it's not,1850,767,"(""it's not"", 46)"
west,2236,768,"('west', 46)"
tag,104,769,"('tag', 45)"
toyota,409,770,"('toyota', 45)"
fake,1812,771,"('fake', 45)"
subway,1820,772,"('subway', 45)"
stainless steel,539,773,"('stainless steel', 45)"
indian,871,774,"('indian', 45)"
jump,1506,775,"('jump', 45)"
straw,1382,776,"('straw', 45)"
seagulls,1448,777,"('seagulls', 45)"
polar bear,1272,778,"('polar bear', 45)"
c,1799,779,"('c', 45)"
fedora,1965,780,"('fedora', 45)"
fedex,2152,781,"('fedex', 45)"
55,278,782,"('55', 44)"
200,723,783,"('200', 44)"
eggs,348,784,"('eggs', 44)"
38,1932,785,"('38', 44)"
polar,874,786,"('polar', 44)"
empty,1011,787,"('empty', 44)"
friends,1582,788,"('friends', 44)"
suv,1065,789,"('suv', 44)"
big ben,1093,790,"('big ben', 44)"
out,1405,791,"('out', 44)"
mushrooms,1236,792,"('mushrooms', 44)"
germany,1283,793,"('germany', 44)"
natural,1528,794,"('natural', 44)"
kia,2002,795,"('kia', 44)"
bowling,2026,796,"('bowling', 44)"
curtain,2117,797,"('curtain', 44)"
cumulus,217,798,"('cumulus', 43)"
starbucks,2291,799,"('starbucks', 43)"
racing,389,800,"('racing', 43)"
s,1413,801,"('s', 43)"
fast,1278,802,"('fast', 43)"
2010,1374,803,"('2010', 43)"
serve,1641,804,"('serve', 43)"
cannot tell,1923,805,"('cannot tell', 43)"
asia,1795,806,"('asia', 43)"
green and yellow,315,807,"('green and yellow', 42)"
curtains,385,808,"('curtains', 42)"
friend,415,809,"('friend', 42)"
eat,442,810,"('eat', 42)"
warning,2219,811,"('warning', 42)"
caution,505,812,"('caution', 42)"
candy,601,813,"('candy', 42)"
pineapple,1266,814,"('pineapple', 42)"
steak,632,815,"('steak', 42)"
chain link,633,816,"('chain link', 42)"
nighttime,886,817,"('nighttime', 42)"
pug,891,818,"('pug', 42)"
tired,936,819,"('tired', 42)"
first,1517,820,"('first', 42)"
swan,1182,821,"('swan', 42)"
towels,1380,822,"('towels', 42)"
corner,1500,823,"('corner', 42)"
soccer ball,1143,824,"('soccer ball', 42)"
chips,2498,825,"('chips', 42)"
roman,1856,826,"('roman', 42)"
family,1767,827,"('family', 42)"
bun,56,828,"('bun', 41)"
basil,2128,829,"('basil', 41)"
fabric,624,830,"('fabric', 41)"
washington,972,831,"('washington', 41)"
air canada,934,832,"('air canada', 41)"
monkey,1022,833,"('monkey', 41)"
mutt,1048,834,"('mutt', 41)"
45,607,835,"('45', 41)"
scooter,1075,836,"('scooter', 41)"
runway,1144,837,"('runway', 41)"
skier,1157,838,"('skier', 41)"
t shirt,501,839,"('t shirt', 41)"
wool,1572,840,"('wool', 41)"
pickle,1610,841,"('pickle', 41)"
magnets,1789,842,"('magnets', 41)"
statue,1868,843,"('statue', 41)"
paddle,1978,844,"('paddle', 41)"
navy,2151,845,"('navy', 41)"
frosting,2266,846,"('frosting', 41)"
buildings,2178,847,"('buildings', 41)"
red sox,370,848,"('red sox', 40)"
rack,2657,849,"('rack', 40)"
letters,1891,850,"('letters', 40)"
italy,527,851,"('italy', 40)"
sprinkles,685,852,"('sprinkles', 40)"
sailboat,775,853,"('sailboat', 40)"
private,853,854,"('private', 40)"
beans,1030,855,"('beans', 40)"
german shepherd,1040,856,"('german shepherd', 40)"
television,1133,857,"('television', 40)"
storage,1180,858,"('storage', 40)"
desktop,1205,859,"('desktop', 40)"
in front,1367,860,"('in front', 40)"
french,1568,861,"('french', 40)"
playing game,1710,862,"('playing game', 40)"
calico,1749,863,"('calico', 40)"
tennis player,2193,864,"('tennis player', 40)"
propeller,76,865,"('propeller', 39)"
children,242,866,"('children', 39)"
squares,530,867,"('squares', 39)"
museum,683,868,"('museum', 39)"
chopsticks,727,869,"('chopsticks', 39)"
2012,1090,870,"('2012', 39)"
eagle,797,871,"('eagle', 39)"
1950,1349,872,"('1950', 39)"
goat,1669,873,"('goat', 39)"
wet,1523,874,"('wet', 39)"
blue and red,1629,875,"('blue and red', 39)"
animals,1752,876,"('animals', 39)"
visor,2010,877,"('visor', 39)"
krispy kreme,2379,878,"('krispy kreme', 39)"
multi,1091,879,"('multi', 39)"
surf,1452,880,"('surf', 39)"
net,0,881,"('net', 38)"
design,1774,882,"('design', 38)"
watermelon,249,883,"('watermelon', 38)"
34,913,884,"('34', 38)"
holding,2824,885,"('holding', 38)"
baseball bat,1691,886,"('baseball bat', 38)"
cigarette,964,887,"('cigarette', 38)"
baseball field,1136,888,"('baseball field', 38)"
drywall,1317,889,"('drywall', 38)"
bandana,1339,890,"('bandana', 38)"
32,1401,891,"('32', 38)"
bell,1444,892,"('bell', 38)"
newspaper,1534,893,"('newspaper', 38)"
messy,1563,894,"('messy', 38)"
fireplace,1711,895,"('fireplace', 38)"
butterfly,1811,896,"('butterfly', 38)"
drink,843,897,"('drink', 38)"
saddle,2104,898,"('saddle', 38)"
french fries,2100,899,"('french fries', 38)"
railing,44,900,"('railing', 37)"
spanish,105,901,"('spanish', 37)"
travel,721,902,"('travel', 37)"
on counter,299,903,"('on counter', 37)"
yellow and black,458,904,"('yellow and black', 37)"
boxes,591,905,"('boxes', 37)"
cucumber,679,906,"('cucumber', 37)"
directions,2052,907,"('directions', 37)"
fell,1209,908,"('fell', 37)"
rural,910,909,"('rural', 37)"
garbage,961,910,"('garbage', 37)"
unclear,2388,911,"('unclear', 37)"
street sign,1191,912,"('street sign', 37)"
lighthouse,1038,913,"('lighthouse', 37)"
pie,1126,914,"('pie', 37)"
60,1254,915,"('60', 37)"
finch,1358,916,"('finch', 37)"
stand,1397,917,"('stand', 37)"
bicycles,1642,918,"('bicycles', 37)"
golden retriever,1668,919,"('golden retriever', 37)"
garage,2322,920,"('garage', 37)"
catching frisbee,1718,921,"('catching frisbee', 37)"
giants,1781,922,"('giants', 37)"
wave,1821,923,"('wave', 37)"
pork,2509,924,"('pork', 37)"
shoe,2270,925,"('shoe', 37)"
monitor,1443,926,"('monitor', 36)"
tiger,419,927,"('tiger', 36)"
mozzarella,636,928,"('mozzarella', 36)"
construction,729,929,"('construction', 36)"
phones,774,930,"('phones', 36)"
on floor,906,931,"('on floor', 36)"
29,951,932,"('29', 36)"
traveling,955,933,"('traveling', 36)"
smoothie,2021,934,"('smoothie', 36)"
t,1709,935,"('t', 36)"
accident,1589,936,"('accident', 36)"
advertisement,2736,937,"('advertisement', 36)"
in bowl,831,938,"('in bowl', 36)"
flags,1886,939,"('flags', 36)"
peace,1068,940,"('peace', 36)"
obama,2004,941,"('obama', 36)"
bucket,2283,942,"('bucket', 36)"
baseball cap,130,943,"('baseball cap', 35)"
vertical,303,944,"('vertical', 35)"
cherry,674,945,"('cherry', 35)"
bull,1862,946,"('bull', 35)"
corn,865,947,"('corn', 35)"
san francisco,998,948,"('san francisco', 35)"
daisies,1055,949,"('daisies', 35)"
side,1086,950,"('side', 35)"
wagon,1164,951,"('wagon', 35)"
time,1328,952,"('time', 35)"
harness,1662,953,"('harness', 35)"
emirates,1785,954,"('emirates', 35)"
orioles,1942,955,"('orioles', 35)"
bags,1945,956,"('bags', 35)"
cook,2207,957,"('cook', 35)"
bulldog,2527,958,"('bulldog', 35)"
yankees,225,959,"('yankees', 34)"
tennis rackets,254,960,"('tennis rackets', 34)"
shrimp,449,961,"('shrimp', 34)"
candle,561,962,"('candle', 34)"
halloween,572,963,"('halloween', 34)"
lap,654,964,"('lap', 34)"
beagle,1583,965,"('beagle', 34)"
white and brown,671,966,"('white and brown', 34)"
casual,1147,967,"('casual', 34)"
wires,738,968,"('wires', 34)"
love,2426,969,"('love', 34)"
tractor,1670,970,"('tractor', 34)"
swinging,1370,971,"('swinging', 34)"
gravel,1057,972,"('gravel', 34)"
to left,1538,973,"('to left', 34)"
foil,1577,974,"('foil', 34)"
husky,1678,975,"('husky', 34)"
man on left,1396,976,"('man on left', 34)"
cone,2019,977,"('cone', 34)"
electronics,2024,978,"('electronics', 34)"
army,2038,979,"('army', 34)"
10:20,2177,980,"('10:20', 34)"
north america,2184,981,"('north america', 34)"
library,2564,982,"('library', 34)"
tennis shoes,410,983,"('tennis shoes', 33)"
poodle,330,984,"('poodle', 33)"
1 foot,335,985,"('1 foot', 33)"
microphone,352,986,"('microphone', 33)"
barn,363,987,"('barn', 33)"
stripe,2057,988,"('stripe', 33)"
kiwi,435,989,"('kiwi', 33)"
porcelain,681,990,"('porcelain', 33)"
mask,690,991,"('mask', 33)"
plates,740,992,"('plates', 33)"
oil,724,993,"('oil', 33)"
hospital,1163,994,"('hospital', 33)"
country,1621,995,"('country', 33)"
uniform,1325,996,"('uniform', 33)"
vest,1348,997,"('vest', 33)"
5 feet,1384,998,"('5 feet', 33)"
cleats,1596,999,"('cleats', 33)"
