Label_names,Label_indices,Occurences
storage,1180,"('storage', 40)"
desktop,1205,"('desktop', 40)"
in front,1367,"('in front', 40)"
french,1568,"('french', 40)"
playing game,1710,"('playing game', 40)"
calico,1749,"('calico', 40)"
tennis player,2193,"('tennis player', 40)"
propeller,76,"('propeller', 39)"
children,242,"('children', 39)"
squares,530,"('squares', 39)"
museum,683,"('museum', 39)"
chopsticks,727,"('chopsticks', 39)"
2012,1090,"('2012', 39)"
eagle,797,"('eagle', 39)"
1950,1349,"('1950', 39)"
goat,1669,"('goat', 39)"
wet,1523,"('wet', 39)"
blue and red,1629,"('blue and red', 39)"
animals,1752,"('animals', 39)"
visor,2010,"('visor', 39)"
krispy kreme,2379,"('krispy kreme', 39)"
multi,1091,"('multi', 39)"
surf,1452,"('surf', 39)"
net,0,"('net', 38)"
design,1774,"('design', 38)"
watermelon,249,"('watermelon', 38)"
34,913,"('34', 38)"
holding,2824,"('holding', 38)"
baseball bat,1691,"('baseball bat', 38)"
cigarette,964,"('cigarette', 38)"
baseball field,1136,"('baseball field', 38)"
drywall,1317,"('drywall', 38)"
bandana,1339,"('bandana', 38)"
32,1401,"('32', 38)"
bell,1444,"('bell', 38)"
newspaper,1534,"('newspaper', 38)"
messy,1563,"('messy', 38)"
fireplace,1711,"('fireplace', 38)"
butterfly,1811,"('butterfly', 38)"
drink,843,"('drink', 38)"
saddle,2104,"('saddle', 38)"
french fries,2100,"('french fries', 38)"
railing,44,"('railing', 37)"
spanish,105,"('spanish', 37)"
travel,721,"('travel', 37)"
on counter,299,"('on counter', 37)"
yellow and black,458,"('yellow and black', 37)"
boxes,591,"('boxes', 37)"
cucumber,679,"('cucumber', 37)"
directions,2052,"('directions', 37)"
fell,1209,"('fell', 37)"
rural,910,"('rural', 37)"
garbage,961,"('garbage', 37)"
unclear,2388,"('unclear', 37)"
street sign,1191,"('street sign', 37)"
lighthouse,1038,"('lighthouse', 37)"
pie,1126,"('pie', 37)"
60,1254,"('60', 37)"
finch,1358,"('finch', 37)"
stand,1397,"('stand', 37)"
bicycles,1642,"('bicycles', 37)"
golden retriever,1668,"('golden retriever', 37)"
garage,2322,"('garage', 37)"
catching frisbee,1718,"('catching frisbee', 37)"
giants,1781,"('giants', 37)"
wave,1821,"('wave', 37)"
pork,2509,"('pork', 37)"
shoe,2270,"('shoe', 37)"
monitor,1443,"('monitor', 36)"
tiger,419,"('tiger', 36)"
mozzarella,636,"('mozzarella', 36)"
construction,729,"('construction', 36)"
phones,774,"('phones', 36)"
on floor,906,"('on floor', 36)"
29,951,"('29', 36)"
traveling,955,"('traveling', 36)"
smoothie,2021,"('smoothie', 36)"
t,1709,"('t', 36)"
accident,1589,"('accident', 36)"
advertisement,2736,"('advertisement', 36)"
in bowl,831,"('in bowl', 36)"
flags,1886,"('flags', 36)"
peace,1068,"('peace', 36)"
obama,2004,"('obama', 36)"
bucket,2283,"('bucket', 36)"
baseball cap,130,"('baseball cap', 35)"
vertical,303,"('vertical', 35)"
cherry,674,"('cherry', 35)"
bull,1862,"('bull', 35)"
corn,865,"('corn', 35)"
san francisco,998,"('san francisco', 35)"
daisies,1055,"('daisies', 35)"
side,1086,"('side', 35)"
wagon,1164,"('wagon', 35)"
time,1328,"('time', 35)"
harness,1662,"('harness', 35)"
emirates,1785,"('emirates', 35)"
orioles,1942,"('orioles', 35)"
bags,1945,"('bags', 35)"
cook,2207,"('cook', 35)"
bulldog,2527,"('bulldog', 35)"
yankees,225,"('yankees', 34)"
tennis rackets,254,"('tennis rackets', 34)"
shrimp,449,"('shrimp', 34)"
candle,561,"('candle', 34)"
halloween,572,"('halloween', 34)"
lap,654,"('lap', 34)"
beagle,1583,"('beagle', 34)"
white and brown,671,"('white and brown', 34)"
casual,1147,"('casual', 34)"
wires,738,"('wires', 34)"
love,2426,"('love', 34)"
tractor,1670,"('tractor', 34)"
swinging,1370,"('swinging', 34)"
gravel,1057,"('gravel', 34)"
to left,1538,"('to left', 34)"
foil,1577,"('foil', 34)"
husky,1678,"('husky', 34)"
man on left,1396,"('man on left', 34)"
cone,2019,"('cone', 34)"
electronics,2024,"('electronics', 34)"
army,2038,"('army', 34)"
10:20,2177,"('10:20', 34)"
north america,2184,"('north america', 34)"
library,2564,"('library', 34)"
tennis shoes,410,"('tennis shoes', 33)"
poodle,330,"('poodle', 33)"
1 foot,335,"('1 foot', 33)"
microphone,352,"('microphone', 33)"
barn,363,"('barn', 33)"
stripe,2057,"('stripe', 33)"
kiwi,435,"('kiwi', 33)"
porcelain,681,"('porcelain', 33)"
mask,690,"('mask', 33)"
plates,740,"('plates', 33)"
oil,724,"('oil', 33)"
hospital,1163,"('hospital', 33)"
country,1621,"('country', 33)"
uniform,1325,"('uniform', 33)"
vest,1348,"('vest', 33)"
5 feet,1384,"('5 feet', 33)"
cleats,1596,"('cleats', 33)"
reins,1647,"('reins', 33)"
beanie,1682,"('beanie', 33)"
taxi,1928,"('taxi', 33)"
on shelf,2179,"('on shelf', 33)"
suitcases,2071,"('suitcases', 33)"
string,1542,"('string', 33)"
neck,2124,"('neck', 33)"
cap,2781,"('cap', 33)"
tank top,2344,"('tank top', 33)"
cookies,2416,"('cookies', 33)"
nokia,2252,"('nokia', 33)"
yellow and white,72,"('yellow and white', 32)"
e,98,"('e', 32)"
20 feet,1308,"('20 feet', 32)"
identification,1463,"('identification', 32)"
eyes,308,"('eyes', 32)"
white and green,373,"('white and green', 32)"
stuffed animals,859,"('stuffed animals', 32)"
2000,465,"('2000', 32)"
air force,482,"('air force', 32)"
soft,1619,"('soft', 32)"
board,701,"('board', 32)"
shallow,398,"('shallow', 32)"
hello kitty,900,"('hello kitty', 32)"
12:00,1763,"('12:00', 32)"
noodles,952,"('noodles', 32)"
arm,1623,"('arm', 32)"
softball,1012,"('softball', 32)"
cross country,1017,"('cross country', 32)"
numbers,1931,"('numbers', 32)"
bottles,1578,"('bottles', 32)"
video game,1145,"('video game', 32)"
pots,1288,"('pots', 32)"
thin,1176,"('thin', 32)"
peas,1958,"('peas', 32)"
stool,1887,"('stool', 32)"
leash,1688,"('leash', 32)"
toys,2297,"('toys', 32)"
bob,1794,"('bob', 32)"
lilies,2075,"('lilies', 32)"
green beans,2175,"('green beans', 32)"
bush,832,"('bush', 32)"
camouflage,2277,"('camouflage', 32)"
ribbon,2103,"('ribbon', 32)"
log,37,"('log', 31)"
outdoor,54,"('outdoor', 31)"
hill,2358,"('hill', 31)"
m,1618,"('m', 31)"
hair dryer,189,"('hair dryer', 31)"
apron,197,"('apron', 31)"
watching tv,919,"('watching tv', 31)"
on tracks,483,"('on tracks', 31)"
black and red,512,"('black and red', 31)"
houses,587,"('houses', 31)"
ladder,708,"('ladder', 31)"
santa,751,"('santa', 31)"
bikini,1754,"('bikini', 31)"
multicolored,873,"('multicolored', 31)"
pizza cutter,884,"('pizza cutter', 31)"
australia,889,"('australia', 31)"
british,893,"('british', 31)"
coat,1681,"('coat', 31)"
tags,1000,"('tags', 31)"
pigeons,1060,"('pigeons', 31)"
toast,1127,"('toast', 31)"
onion,1324,"('onion', 31)"
harley davidson,1434,"('harley davidson', 31)"
setting,1481,"('setting', 31)"
dishes,1557,"('dishes', 31)"
pillows,1663,"('pillows', 31)"
blurry,1690,"('blurry', 31)"
26,2424,"('26', 31)"
3:00,1927,"('3:00', 31)"
falling,2282,"('falling', 31)"
icing,2258,"('icing', 31)"
on pole,2315,"('on pole', 31)"
lufthansa,2345,"('lufthansa', 31)"
music,2411,"('music', 31)"
jeep,2377,"('jeep', 31)"
rail,2444,"('rail', 31)"
lily,2679,"('lily', 31)"
petting,809,"('petting', 30)"
gothic,1304,"('gothic', 30)"
cream,1951,"('cream', 30)"
window sill,502,"('window sill', 30)"
boating,556,"('boating', 30)"
play,613,"('play', 30)"
kettle,662,"('kettle', 30)"
free,757,"('free', 30)"
cups,938,"('cups', 30)"
japanese,985,"('japanese', 30)"
legs,1410,"('legs', 30)"
pitbull,1079,"('pitbull', 30)"
siamese,1115,"('siamese', 30)"
clothing,2068,"('clothing', 30)"
fur,1279,"('fur', 30)"
screen,1428,"('screen', 30)"
belt,2235,"('belt', 30)"
horns,1543,"('horns', 30)"
blue and green,1477,"('blue and green', 30)"
rodeo,1648,"('rodeo', 30)"
man on right,1674,"('man on right', 30)"
foggy,1742,"('foggy', 30)"
snowy,2220,"('snowy', 30)"
owner,1769,"('owner', 30)"
biking,1779,"('biking', 30)"
not,2486,"('not', 30)"
vegetable,1664,"('vegetable', 30)"
bushes,2305,"('bushes', 30)"
do not enter,2732,"('do not enter', 30)"
laptops,1585,"('laptops', 30)"
sweet,117,"('sweet', 29)"
can,726,"('can', 29)"
grill,265,"('grill', 29)"
black and yellow,311,"('black and yellow', 29)"
hp,460,"('hp', 29)"
on street,464,"('on street', 29)"
movie,606,"('movie', 29)"
weeds,2882,"('weeds', 29)"
water bottle,823,"('water bottle', 29)"
far,849,"('far', 29)"
writing,898,"('writing', 29)"
dugout,960,"('dugout', 29)"
brown and black,1247,"('brown and black', 29)"
nose,2196,"('nose', 29)"
dresser,1415,"('dresser', 29)"
washington dc,1425,"('washington dc', 29)"
woods,1455,"('woods', 29)"
on grass,1197,"('on grass', 29)"
cereal,1628,"('cereal', 29)"
to eat,1830,"('to eat', 29)"
land,1857,"('land', 29)"
several,2261,"('several', 29)"
motor,1971,"('motor', 29)"
mexican,1976,"('mexican', 29)"
teddy bears,166,"('teddy bears', 28)"
socks,167,"('socks', 28)"
race,1050,"('race', 28)"
kids,687,"('kids', 28)"
potato,2757,"('potato', 28)"
on road,969,"('on road', 28)"
computers,1002,"('computers', 28)"
relaxing,1080,"('relaxing', 28)"
center,1111,"('center', 28)"
fresh,1229,"('fresh', 28)"
mouth,1343,"('mouth', 28)"
uphill,1713,"('uphill', 28)"
x,1554,"('x', 28)"
crossing,2120,"('crossing', 28)"
handicap,1840,"('handicap', 28)"
2013,1895,"('2013', 28)"
no dog,2046,"('no dog', 28)"
selfie,1950,"('selfie', 28)"
boxing,1982,"('boxing', 28)"
lion,2767,"('lion', 28)"
tail,2094,"('tail', 28)"
us,2134,"('us', 28)"
pink and white,2215,"('pink and white', 28)"
nintendo,2439,"('nintendo', 28)"
feet,2446,"('feet', 28)"
ice,158,"('ice', 27)"
bathtub,2613,"('bathtub', 27)"
toothbrushes,405,"('toothbrushes', 27)"
teddy,63,"('teddy', 27)"
spatula,518,"('spatula', 27)"
skull,2119,"('skull', 27)"
cabbage,695,"('cabbage', 27)"
happy birthday,719,"('happy birthday', 27)"
cones,779,"('cones', 27)"
glazed,1560,"('glazed', 27)"
cardboard,816,"('cardboard', 27)"
no hat,1128,"('no hat', 27)"
on top,935,"('on top', 27)"
white and gray,942,"('white and gray', 27)"
pitching,959,"('pitching', 27)"
33,982,"('33', 27)"
power lines,1239,"('power lines', 27)"
yamaha,1104,"('yamaha', 27)"
photography,2493,"('photography', 27)"
motorola,1158,"('motorola', 27)"
500,1372,"('500', 27)"
freight,1218,"('freight', 27)"
wristband,1903,"('wristband', 27)"
chihuahua,1234,"('chihuahua', 27)"
tattoo,1270,"('tattoo', 27)"
trunk,1707,"('trunk', 27)"
pier,1319,"('pier', 27)"
lines,1347,"('lines', 27)"
pastries,1359,"('pastries', 27)"
2016,1378,"('2016', 27)"
kitten,1888,"('kitten', 27)"
1 hour,1967,"('1 hour', 27)"
in background,2080,"('in background', 27)"
speaker,2172,"('speaker', 27)"
pool,1598,"('pool', 27)"
mom,1599,"('mom', 27)"
arrow,2185,"('arrow', 27)"
lots,1768,"('lots', 27)"
photo,2209,"('photo', 27)"
seat,1998,"('seat', 27)"
europe,2064,"('europe', 27)"
wheat,2208,"('wheat', 27)"
mac,2224,"('mac', 27)"
pelican,2231,"('pelican', 27)"
tow truck,2234,"('tow truck', 27)"
wii controllers,2349,"('wii controllers', 27)"
chase,2811,"('chase', 27)"
cubs,2519,"('cubs', 27)"
deer,2521,"('deer', 27)"
dots,227,"('dots', 26)"
31,276,"('31', 26)"
windsurfing,510,"('windsurfing', 26)"
passengers,424,"('passengers', 26)"
horizontal,446,"('horizontal', 26)"
boys,472,"('boys', 26)"
bad,661,"('bad', 26)"
pickles,571,"('pickles', 26)"
mushroom,581,"('mushroom', 26)"
greyhound,658,"('greyhound', 26)"
1000,1511,"('1000', 26)"
volleyball,746,"('volleyball', 26)"
right side,2981,"('right side', 26)"
wicker,892,"('wicker', 26)"
driver,921,"('driver', 26)"
squash,1994,"('squash', 26)"
doughnut,1037,"('doughnut', 26)"
girls,1152,"('girls', 26)"
easter,1323,"('easter', 26)"
texas,1503,"('texas', 26)"
roman numerals,1513,"('roman numerals', 26)"
berries,1608,"('berries', 26)"
roast beef,2009,"('roast beef', 26)"
arch,2066,"('arch', 26)"
size,1861,"('size', 26)"
cardinals,2200,"('cardinals', 26)"
bank of america,2472,"('bank of america', 26)"
kayaking,2654,"('kayaking', 26)"
google,2742,"('google', 26)"
vent,28,"('vent', 25)"
pig,116,"('pig', 25)"
r,2049,"('r', 25)"
abstract,128,"('abstract', 25)"
panda,2658,"('panda', 25)"
blue and black,2467,"('blue and black', 25)"
sliced,436,"('sliced', 25)"
highway,523,"('highway', 25)"
on sidewalk,565,"('on sidewalk', 25)"
veggie,585,"('veggie', 25)"
engine,594,"('engine', 25)"
bright,612,"('bright', 25)"
44,656,"('44', 25)"
utensils,2373,"('utensils', 25)"
throwing,736,"('throwing', 25)"
flat,752,"('flat', 25)"
plaster,773,"('plaster', 25)"
cell phones,790,"('cell phones', 25)"
dead,2065,"('dead', 25)"
nature,854,"('nature', 25)"
hanging,2041,"('hanging', 25)"
rabbit,1010,"('rabbit', 25)"
chandelier,1028,"('chandelier', 25)"
12:30,1073,"('12:30', 25)"
on tower,965,"('on tower', 25)"
ferry,1166,"('ferry', 25)"
in back,3038,"('in back', 25)"
stickers,1195,"('stickers', 25)"
theater,1301,"('theater', 25)"
privacy,2278,"('privacy', 25)"
goats,1412,"('goats', 25)"
coal,1435,"('coal', 25)"
mexico,1653,"('mexico', 25)"
vases,1680,"('vases', 25)"
mug,1694,"('mug', 25)"
traffic light,1733,"('traffic light', 25)"
gas station,1881,"('gas station', 25)"
yield,1885,"('yield', 25)"
pavement,1137,"('pavement', 25)"
news,2186,"('news', 25)"
sedan,2211,"('sedan', 25)"
casserole,2229,"('casserole', 25)"
very tall,1103,"('very tall', 25)"
2011,2309,"('2011', 25)"
below,2389,"('below', 25)"
ibm,2710,"('ibm', 25)"
tusks,2634,"('tusks', 25)"
ski pole,155,"('ski pole', 24)"
toaster oven,184,"('toaster oven', 24)"
bunk,2060,"('bunk', 24)"
los angeles,368,"('los angeles', 24)"
power,858,"('power', 24)"
playing soccer,473,"('playing soccer', 24)"
toaster,515,"('toaster', 24)"
trailer,555,"('trailer', 24)"
celery,617,"('celery', 24)"
blueberries,627,"('blueberries', 24)"
track,2321,"('track', 24)"
12:15,754,"('12:15', 24)"
on chair,1089,"('on chair', 24)"
chiquita,1186,"('chiquita', 24)"
6 inches,1261,"('6 inches', 24)"
they aren't,2324,"(""they aren't"", 24)"
volkswagen,1373,"('volkswagen', 24)"
sleep,1256,"('sleep', 24)"
toothpaste,2079,"('toothpaste', 24)"
cut,1553,"('cut', 24)"
ge,2574,"('ge', 24)"
bathing,1603,"('bathing', 24)"
for sale,1622,"('for sale', 24)"
xbox,1854,"('xbox', 24)"
bud light,1720,"('bud light', 24)"
red white blue,1492,"('red white blue', 24)"
pointing,1873,"('pointing', 24)"
dishwasher,1892,"('dishwasher', 24)"
backhand,2433,"('backhand', 24)"
sunflower,2138,"('sunflower', 24)"
arabic,2034,"('arabic', 24)"
foot,2300,"('foot', 24)"
drinks,2534,"('drinks', 24)"
geese,2508,"('geese', 24)"
iron,2585,"('iron', 24)"
1:05,2734,"('1:05', 24)"
town,294,"('town', 23)"
riding bike,329,"('riding bike', 23)"
name,814,"('name', 23)"
meter,1391,"('meter', 23)"
costume,694,"('costume', 23)"
staring,1548,"('staring', 23)"
barbed wire,635,"('barbed wire', 23)"
stroller,857,"('stroller', 23)"
british airways,885,"('british airways', 23)"
cord,1744,"('cord', 23)"
heat,2474,"('heat', 23)"
towards,981,"('towards', 23)"
2 hours,2430,"('2 hours', 23)"
ride,1085,"('ride', 23)"
feeding,2017,"('feeding', 23)"
orange and black,1110,"('orange and black', 23)"
map,1241,"('map', 23)"
papers,1250,"('papers', 23)"
2:35,1305,"('2:35', 23)"
ears,1310,"('ears', 23)"
to right,1313,"('to right', 23)"
piano,1342,"('piano', 23)"
shearing,1458,"('shearing', 23)"
stars,1485,"('stars', 23)"
l,2511,"('l', 23)"
tablet,1665,"('tablet', 23)"
fern,1666,"('fern', 23)"
sports,1687,"('sports', 23)"
ivy,1791,"('ivy', 23)"
shopping,2694,"('shopping', 23)"
tools,2711,"('tools', 23)"
nuts,1894,"('nuts', 23)"
boogie board,1915,"('boogie board', 23)"
350,2228,"('350', 23)"
circles,2000,"('circles', 23)"
steps,2518,"('steps', 23)"
seattle,2143,"('seattle', 23)"
5:00,2164,"('5:00', 23)"
florida,1423,"('florida', 23)"
cupcakes,2284,"('cupcakes', 23)"
hard,2477,"('hard', 23)"
salt,2523,"('salt', 23)"
knee pads,2532,"('knee pads', 23)"
tokyo,2576,"('tokyo', 23)"
radiator,2778,"('radiator', 23)"
pancakes,2797,"('pancakes', 23)"
elm,64,"('elm', 22)"
cupcake,172,"('cupcake', 22)"
polka dot,262,"('polka dot', 22)"
southwest,291,"('southwest', 22)"
deep,1898,"('deep', 22)"
air france,423,"('air france', 22)"
3:55,427,"('3:55', 22)"
fluorescent,469,"('fluorescent', 22)"
turn,476,"('turn', 22)"
poster,566,"('poster', 22)"
70,588,"('70', 22)"
vans,795,"('vans', 22)"
cookie,820,"('cookie', 22)"
bridle,879,"('bridle', 22)"
loading,1509,"('loading', 22)"
chain,1043,"('chain', 22)"
moss,2045,"('moss', 22)"
in car,1062,"('in car', 22)"
wii remotes,1064,"('wii remotes', 22)"
waving,2129,"('waving', 22)"
avocado,1132,"('avocado', 22)"
coach,1708,"('coach', 22)"
top right,1210,"('top right', 22)"
pilot,1269,"('pilot', 22)"
fruits,1290,"('fruits', 22)"
ship,1331,"('ship', 22)"
green and red,2340,"('green and red', 22)"
tire,1777,"('tire', 22)"
2009,2232,"('2009', 22)"
jockey,1486,"('jockey', 22)"
snowboards,1539,"('snowboards', 22)"
post,2526,"('post', 22)"
above sink,1555,"('above sink', 22)"
grilled,1567,"('grilled', 22)"
aluminum,1955,"('aluminum', 22)"
school bus,1584,"('school bus', 22)"
pastry,2195,"('pastry', 22)"
all of them,2372,"('all of them', 22)"
khaki,1673,"('khaki', 22)"
balls,1689,"('balls', 22)"
motocross,1714,"('motocross', 22)"
formal,2188,"('formal', 22)"
lamb,2005,"('lamb', 22)"
windy,1803,"('windy', 22)"
yellow and green,1810,"('yellow and green', 22)"
lanyard,2214,"('lanyard', 22)"
man's,1817,"(""man's"", 22)"
grizzly,2484,"('grizzly', 22)"
mercedes benz,1174,"('mercedes benz', 22)"
5:40,2991,"('5:40', 22)"
52,2013,"('52', 22)"
hawk,2031,"('hawk', 22)"
behind fence,2043,"('behind fence', 22)"
teeth,2102,"('teeth', 22)"
mud,2133,"('mud', 22)"
cartoon,2149,"('cartoon', 22)"
11:45,2580,"('11:45', 22)"
kayak,2265,"('kayak', 22)"
money,2332,"('money', 22)"
polka dots,2383,"('polka dots', 22)"
leaving,2836,"('leaving', 22)"
lg,2398,"('lg', 22)"
lime,2118,"('lime', 22)"
in,742,"('in', 22)"
broadway,2626,"('broadway', 22)"
n,2687,"('n', 22)"
sushi,2718,"('sushi', 22)"
tent,1335,"('tent', 21)"
never,346,"('never', 21)"
skating,968,"('skating', 21)"
clip,2191,"('clip', 21)"
6 feet,2030,"('6 feet', 21)"
ties,2273,"('ties', 21)"
lady,2404,"('lady', 21)"
top left,834,"('top left', 21)"
denim,915,"('denim', 21)"
for fun,917,"('for fun', 21)"
snowboarder,1020,"('snowboarder', 21)"
club,1446,"('club', 21)"
bottom right,1067,"('bottom right', 21)"
9:20,1291,"('9:20', 21)"
swing,2740,"('swing', 21)"
ipod,1363,"('ipod', 21)"
safari,1371,"('safari', 21)"
shelves,1376,"('shelves', 21)"
mustache,1436,"('mustache', 21)"
colgate,1540,"('colgate', 21)"
above stove,1556,"('above stove', 21)"
against wall,1605,"('against wall', 21)"
curly,1625,"('curly', 21)"
blackberry,1659,"('blackberry', 21)"
taking pictures,2312,"('taking pictures', 21)"
buses,2579,"('buses', 21)"
seeds,1841,"('seeds', 21)"
fly kite,1842,"('fly kite', 21)"
doll,1889,"('doll', 21)"
fog,1938,"('fog', 21)"
octopus,2623,"('octopus', 21)"
salmon,2039,"('salmon', 21)"
cooked,2053,"('cooked', 21)"
pocket,2517,"('pocket', 21)"
towing,2303,"('towing', 21)"
helicopter,2132,"('helicopter', 21)"
hamburger,2173,"('hamburger', 21)"
bib,2279,"('bib', 21)"
cheesecake,2304,"('cheesecake', 21)"
menu,2347,"('menu', 21)"
furniture,2354,"('furniture', 21)"
43,2390,"('43', 21)"
hoodie,2445,"('hoodie', 21)"
adults,2456,"('adults', 21)"
5:05,2876,"('5:05', 21)"
lid,2607,"('lid', 21)"
amtrak,2610,"('amtrak', 21)"
ostrich,2612,"('ostrich', 21)"
trucks,2814,"('trucks', 21)"
horse racing,2831,"('horse racing', 21)"
10 years,47,"('10 years', 20)"
herding,177,"('herding', 20)"
street light,325,"('street light', 20)"
brushing,206,"('brushing', 20)"
pink and yellow,247,"('pink and yellow', 20)"
container,297,"('container', 20)"
strap,327,"('strap', 20)"
tape,344,"('tape', 20)"
conference,1427,"('conference', 20)"
visibility,1645,"('visibility', 20)"
very high,693,"('very high', 20)"
36,731,"('36', 20)"
kid,1390,"('kid', 20)"
radio,842,"('radio', 20)"
no number,877,"('no number', 20)"
angels,925,"('angels', 20)"
brace,975,"('brace', 20)"
asparagus,1006,"('asparagus', 20)"
100 feet,150,"('100 feet', 20)"
going,1076,"('going', 20)"
pony,1135,"('pony', 20)"
fly,1315,"('fly', 20)"
diamonds,1140,"('diamonds', 20)"
smaller,1883,"('smaller', 20)"
hood,1155,"('hood', 20)"
toward,1169,"('toward', 20)"
37,1203,"('37', 20)"
transport,1204,"('transport', 20)"
display,1244,"('display', 20)"
53,1265,"('53', 20)"
heels,1296,"('heels', 20)"
burger,1322,"('burger', 20)"
h,1389,"('h', 20)"
robin,1430,"('robin', 20)"
pedestrians,1438,"('pedestrians', 20)"
tongue,1495,"('tongue', 20)"
space,2217,"('space', 20)"
dalmatian,1558,"('dalmatian', 20)"
street name,2313,"('street name', 20)"
cafe,2076,"('cafe', 20)"
volvo,2664,"('volvo', 20)"
normal,2998,"('normal', 20)"
42,1703,"('42', 20)"
12:05,1759,"('12:05', 20)"
8 feet,1866,"('8 feet', 20)"
phillies,1870,"('phillies', 20)"
farmer,1874,"('farmer', 20)"
maroon,2989,"('maroon', 20)"
canoe,1949,"('canoe', 20)"
climbing,2007,"('climbing', 20)"
fried,2961,"('fried', 20)"
tissues,2127,"('tissues', 20)"
exit,2748,"('exit', 20)"
blue and gray,2280,"('blue and gray', 20)"
delivery,2808,"('delivery', 20)"
white and orange,2112,"('white and orange', 20)"
apartments,2885,"('apartments', 20)"
website,1274,"('website', 19)"
referee,95,"('referee', 19)"
12:55,196,"('12:55', 19)"
1950s,258,"('1950s', 19)"
magazines,381,"('magazines', 19)"
court,391,"('court', 19)"
2:20,401,"('2:20', 19)"
green and blue,1569,"('green and blue', 19)"
cirrus,466,"('cirrus', 19)"
10:10,519,"('10:10', 19)"
rugby,538,"('rugby', 19)"
on couch,600,"('on couch', 19)"
players,2027,"('players', 19)"
broke,3054,"('broke', 19)"
on his head,717,"('on his head', 19)"
buffalo,1939,"('buffalo', 19)"
bleachers,846,"('bleachers', 19)"
christmas tree,896,"('christmas tree', 19)"
curb,2109,"('curb', 19)"
f,924,"('f', 19)"
fisheye,944,"('fisheye', 19)"
curved,970,"('curved', 19)"
65,2895,"('65', 19)"
cabinets,1003,"('cabinets', 19)"
relish,1031,"('relish', 19)"
in middle,1041,"('in middle', 19)"
paddle boarding,1081,"('paddle boarding', 19)"
goalie,1142,"('goalie', 19)"
platform,1177,"('platform', 19)"
peach,1183,"('peach', 19)"
no sign,1943,"('no sign', 19)"
9:45,1199,"('9:45', 19)"
sweat,1200,"('sweat', 19)"
grapefruit,1215,"('grapefruit', 19)"
boarding,1243,"('boarding', 19)"
red bull,1268,"('red bull', 19)"
75,1357,"('75', 19)"
bamboo,1383,"('bamboo', 19)"
landscape,1445,"('landscape', 19)"
chevrolet,1474,"('chevrolet', 19)"
healthy,2974,"('healthy', 19)"
10:00,1661,"('10:00', 19)"
rooster,1702,"('rooster', 19)"
magazine,1716,"('magazine', 19)"
lexus,1726,"('lexus', 19)"
coffee maker,1277,"('coffee maker', 19)"
riding horse,2413,"('riding horse', 19)"
macaroni,2952,"('macaroni', 19)"
nissan,1987,"('nissan', 19)"
north face,1993,"('north face', 19)"
labrador,1808,"('labrador', 19)"
close,2994,"('close', 19)"
painted,2082,"('painted', 19)"
4:20,2158,"('4:20', 19)"
tub,2167,"('tub', 19)"
bank,2276,"('bank', 19)"
garden,2286,"('garden', 19)"
bow tie,2306,"('bow tie', 19)"
80,2338,"('80', 19)"
game controller,2454,"('game controller', 19)"
no left turn,2926,"('no left turn', 19)"
41,2478,"('41', 19)"
hitting ball,2492,"('hitting ball', 19)"
curious,2505,"('curious', 19)"
overalls,2601,"('overalls', 19)"
budweiser,2642,"('budweiser', 19)"
end,2872,"('end', 19)"
older,3027,"('older', 19)"
comcast,3080,"('comcast', 19)"
tulip,2979,"('tulip', 19)"
thick,86,"('thick', 18)"
ski resort,285,"('ski resort', 18)"
smartphone,1530,"('smartphone', 18)"
in field,1902,"('in field', 18)"
in hand,2487,"('in hand', 18)"
motion,404,"('motion', 18)"
toilets,2688,"('toilets', 18)"
tiles,890,"('tiles', 18)"
protest,496,"('protest', 18)"
bats,573,"('bats', 18)"
veggies,3050,"('veggies', 18)"
cage,1005,"('cage', 18)"
4:30,675,"('4:30', 18)"
1:55,2525,"('1:55', 18)"
green and orange,864,"('green and orange', 18)"
in sky,869,"('in sky', 18)"
wallpaper,2139,"('wallpaper', 18)"
sliding,983,"('sliding', 18)"
makeup,984,"('makeup', 18)"
stopping,999,"('stopping', 18)"
analog,1077,"('analog', 18)"
1:30,1170,"('1:30', 18)"
gatorade,1201,"('gatorade', 18)"
lamps,1222,"('lamps', 18)"
3:20,1286,"('3:20', 18)"
tablecloth,1364,"('tablecloth', 18)"
horseback riding,1760,"('horseback riding', 18)"
alaska,1494,"('alaska', 18)"
king,1580,"('king', 18)"
tuna,1565,"('tuna', 18)"
canopy,1606,"('canopy', 18)"
robe,1630,"('robe', 18)"
throwing frisbee,1635,"('throwing frisbee', 18)"
arriving,1677,"('arriving', 18)"
jesus,2583,"('jesus', 18)"
vacation,1801,"('vacation', 18)"
detroit,1816,"('detroit', 18)"
goose,1865,"('goose', 18)"
ear,1908,"('ear', 18)"
shirts,2385,"('shirts', 18)"
picnic,1937,"('picnic', 18)"
antique,1954,"('antique', 18)"
wiimote,2560,"('wiimote', 18)"
hazy,2364,"('hazy', 18)"
ketchup and mustard,2028,"('ketchup and mustard', 18)"
dirt bike,2771,"('dirt bike', 18)"
dragon,2126,"('dragon', 18)"
11:20,2141,"('11:20', 18)"
urinal,2148,"('urinal', 18)"
maple leaf,2714,"('maple leaf', 18)"
crown,2239,"('crown', 18)"
mound,2242,"('mound', 18)"
jetblue,2267,"('jetblue', 18)"
main street,2317,"('main street', 18)"
brushing hair,2336,"('brushing hair', 18)"
pizza hut,2356,"('pizza hut', 18)"
